person_id,id_number,id_type,first_name,middle_names,first_surname,second_surname,birth_date,sex
1,8483029790,Cédula,Freddie,,Maffione,Blabie,3/14/1946,Female
2,2262277729,Cédula,Jeanna,Angelica,Gatch,Boerder,1/15/1987,Female
3,1366003942,Cédula,Onofredo,,Cunningham,Stollwerck,2/25/1933,Male
4,0536824495,Cédula,Florrie,Heda,Mayow,Parfitt,6/28/1987,Female
5,2287938567,Cédula,Fae,,Esom,Treslove,3/5/1943,Female
6,7260941685,Cédula,Louisa,Jo-anne,Burbank,Pawelke,8/9/2005,Female
7,0536743827,Cédula,Gregorius,,Carbett,MacCaughen,1/28/2003,Male
8,1327544520,Cédula,Ellwood,,Stitt,Klaussen,8/1/1975,Male
9,8316700689,Cédula,Nancy,Jaquelyn,Mollen,McFarland,11/15/1942,Female
10,0165026251,Cédula,Kip,,Colegate,Eliff,5/17/1986,Male
11,6336991695,Cédula,Livia,,Daynter,Hodgets,1/6/2005,Female
12,9111173998,Cédula,Rosalynd,,Gockelen,Draijer,11/2/1960,Female
13,8793190603,Cédula,Micaela,Tressa,Vinker,Fish,10/6/1974,Female
14,9418538032,Cédula,Augustin,,Fellows,Peck,1/28/1955,Male
15,7351004617,Cédula,Kendrick,,Gioan,Humphries,10/18/1988,Male
16,4244363289,Cédula,Yvette,,Vest,Brookesbie,11/1/1956,Female
17,8102184213,Cédula,Christine,,Wotton,Gallichan,12/22/1971,Female
18,6069586492,Cédula,Annabella,,Rissen,Delgaty,8/3/1987,Female
19,5061787218,Cédula,Brianna,Electra,Moorman,Scowcraft,7/28/1973,Female
20,7869132977,Cédula,Kristoforo,,Pizzey,Van de Velde,11/3/1994,Male
21,1814318623,Cédula,Rodie,Susette,Garley,Sparham,12/14/1964,Female
22,2884986782,Cédula,Clemmie,,Goathrop,Dungate,1/18/1999,Female
23,9899198439,Cédula,Eula,Deidre,Perazzo,Belf,9/29/1934,Female
24,7315520805,Cédula,Trish,,Yakunikov,Celiz,2/5/1982,Female
25,3575655758,Cédula,Yehudi,,Choules,Southcott,1/14/1957,Male
26,7299755998,Cédula,Emmaline,,Georgius,Canete,5/24/1978,Female
